,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
0,Ancient Deep Crow,187,15d12 + 90,-,18,-,15,23,16,23,10,15,19,-,-,+11,-,+7,-,20,80,-,-,-,-,H,U,monstrosity,AI
1,Auspicia Dran,52,8d8 + 16,-,15,-,2,16,14,14,15,12,10,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,AI
2,Brahma Lutier,33,6d8 + 6,-,12,-,2,12,15,12,11,13,16,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,AI
3,Chaos Quadrapod,52,7d10 + 14,-,14,-,4,18,13,15,6,10,4,-,-,-,-,-,-,40,-,-,-,40,-,L,CE,aberration,AI
4,Clockwork Dragon,22,4d8 + 4,-,16,-,1,14,10,12,10,11,13,-,-,-,-,-,-,30,60,-,-,-,-,M,N,construct,AI
5,Deep Crow,133,14d10 + 56,-,17,-,9,20,16,18,8,15,14,-,-,+8,-,+6,-,20,80,-,-,-,-,L,U,monstrosity,AI
6,Donaar Blit'zen,45,7d8 + 14,-,18,-,3,17,8,14,10,10,16,-,-,-,-,+2,+5,30,-,-,-,-,-,M,CG,humanoid,AI
7,Flabbergast,40,9d8,-,12,-,4,10,14,10,17,13,13,-,-,-,+5,+3,-,30,-,-,-,-,-,M,LN,humanoid,AI
8,Jim Darkmagic,40,9d8,-,12,-,5,8,14,10,18,12,14,-,-,-,+7,+4,-,30,-,-,-,-,-,M,CN,humanoid,AI
9,K'thriss Drow'b,44,8d8 + 8,-,14,-,3,8,14,12,14,11,18,+0,+3,+2,+3,+3,+7,30,-,-,-,-,-,M,CN,humanoid,AI
10,Keg Robot,39,6d8 + 12,-,14,-,2,16,16,15,6,8,5,-,-,-,-,-,-,30,-,-,-,-,-,M,U,construct,AI
11,Môrgæn,66,12d8 + 12,-,16,-,4,12,18,12,12,14,10,+3,+6,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,AI
12,Oak Truestrike,32,5d8 + 10,-,15,-,2,13,16,14,10,13,11,-,-,-,-,-,-,30,-,-,-,-,-,M,"NG, NE",humanoid,AI
13,Omin Dran,65,10d8 + 20,-,18,-,5,16,8,14,11,18,12,-,-,-,-,+7,+4,30,-,-,-,-,-,M,LN,humanoid,AI
14,Pendragon Beestinger,27,5d8 + 5,-,12,-,2,10,14,12,17,10,11,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,AI
15,Phoenix Anvil,27,5d8 + 5,-,18,-,2,15,10,12,13,16,13,-,-,-,-,-,-,30,-,-,-,-,-,M,LN,humanoid,AI
16,Portentia Dran,45,6d8 + 18,-,17,-,3,12,18,16,13,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,monstrosity,AI
17,Prophetess Dran,27,5d8 + 5,-,14,-,2,14,10,12,13,16,13,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,AI
18,Rosie Beestinger,45,10d6 + 10,-,15,-,3,8,16,12,12,14,14,+1,+5,-,-,-,-,40,-,-,-,-,-,S,CG,humanoid,AI
19,Splugoth the Returned,27,6d6 + 6,-,15,-,2,10,14,12,14,11,10,-,-,-,+4,+2,-,30,-,-,-,-,-,S,NE,humanoid,AI
20,Viari,65,10d8 + 20,-,18,-,5,12,20,14,10,8,14,-,+8,-,+3,-,-,30,-,-,-,-,-,M,CG,humanoid,AI
21,Walnut Dankgrass,52,8d8 + 16,-,14,-,3,8,16,14,10,18,10,-,-,-,+2,+6,-,35,-,-,-,-,-,M,LN,humanoid,AI
22,Exul,200,16d10 + 112,-,17,-,11,22,12,24,16,15,16,-,-,-,+7,-,+7,40,60,-,-,-,-,L,NE,elemental,AitFR-ISF
23,Malivar,40,9d8,-,12,-,6,9,14,11,17,12,17,-,-,-,+6,+4,-,30,-,-,-,-,-,M,CE,humanoid,AitFR-ISF
24,Greater Shadow Horror,170,20d12 + 40,-,13,-,12,14,16,14,2,17,18,-,-,-,-,-,-,40,-,-,-,-,-,H,NE,aberration,AitFR-THP
25,Morwena Veilmist,55,10d8 + 10,-,12,-,5,9,14,13,17,12,14,-,-,-,+6,+4,-,30,-,-,-,-,-,M,NE,humanoid,AitFR-THP
26,Usagt,97,13d8 + 39,-,12,-,5,10,15,16,15,20,12,-,-,-,+5,+8,+4,30,-,-,-,-,-,M,LN,aberration,AitFR-THP
27,Giant Zombie Constrictor Snake,187,22d12 + 44,-,15,-,8,19,16,14,1,15,4,-,-,-,-,-,-,30,-,30,-,20,-,H,NE,undead,AitFR-DN
28,Hamish Hewland,85,10d12 + 20,-,13,-,5,23,11,15,10,14,10,+9,-,-,-,+5,-,40,-,-,-,-,-,H,NG,giant,AitFR-DN
29,"Kyrilla, Accursed Gorgon",127,15d10 + 45,-,15,-,10,11,16,16,14,14,15,-,-,-,-,+6,+6,30,-,-,-,-,-,L,LE,monstrosity,AitFR-DN
30,Skeletal Horror,150,20d10 + 40,-,13,-,6,16,14,15,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,L,NE,undead,AitFR-DN
31,Mercenary Envoy,26,4d8 + 8,-,15,-,1,15,15,15,10,12,9,+4,-,+4,-,-,-,30,-,-,-,-,-,M,-,humanoid,AitFR-FCD
32,"Tyreus, Illusionist",156,24d8 + 48,-,13,-,13,10,16,14,20,15,16,-,-,-,+10,+7,-,30,-,-,-,-,-,M,NE,humanoid,AitFR-FCD
33,Abyssal Chicken,10,3d4 + 3,-,13,-,1/4,6,14,13,4,9,5,-,-,-,-,-,-,30,30,-,-,-,-,T,CE,fiend,BGDIA
